0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.23,23.00,0.00,0.00,0.46,0.31
10.79,0.00,0.00,0.18,10.47,13.80,0.00,0.35,9.67
8.29,6.47,0.00,0.14,8.05,6.28,3.45,0.27,28.65
6.37,4.97,1.62,0.11,6.18,4.83,1.57,3.31,45.19
4.89,3.82,1.24,2.27,76.16,3.71,1.21,2.99,58.92
104.28,2.94,0.96,2.53,68.69,45.70,0.93,3.82,98.34
116.33,62.57,0.73,2.55,87.93,41.22,11.42,4.11,205.58
117.19,69.80,15.64,2.42,94.55,52.76,10.30,13.70,367.82
111.40,70.31,17.45,18.05,315.13,56.73,13.19,16.98,551.47
830.29,66.84,17.58,25.34,390.62,189.08,14.18,30.56,827.13
